41.00,17.00,12.00,9.30,11.36,1
27.00,10.00,6.00,17.30,1.36,0
40.00,15.00,14.00,5.50,0.86,0
41.00,15.00,14.00,2.90,2.66,0
24.00,2.00,0.00,17.30,1.79,1
41.00,5.00,5.00,10.20,0.39,0
39.00,20.00,9.00,30.60,3.83,0
43.00,12.00,11.00,3.60,0.13,0
24.00,3.00,4.00,24.40,1.36,1
36.00,0.00,13.00,19.70,2.78,0
27.00,0.00,1.00,1.70,0.18,0
25.00,4.00,0.00,5.20,0.25,0
52.00,24.00,14.00,10.00,3.93,0
37.00,6.00,9.00,16.30,1.72,0
48.00,22.00,15.00,9.10,3.70,0
36.00,9.00,6.00,8.60,0.82,1
36.00,13.00,6.00,16.40,2.92,1
43.00,23.00,19.00,7.60,1.18,0
39.00,6.00,9.00,5.70,0.56,0
41.00,0.00,21.00,1.70,0.10,0
39.00,22.00,3.00,3.20,1.15,0
47.00,17.00,21.00,5.60,0.59,0
28.00,3.00,6.00,10.00,0.43,0
29.00,8.00,6.00,9.80,0.40,0
21.00,1.00,2.00,18.00,0.24,1
25.00,0.00,2.00,17.60,2.14,0
45.00,9.00,26.00,6.70,0.71,0
43.00,25.00,21.00,16.70,0.95,0
33.00,12.00,8.00,18.40,3.08,0
26.00,2.00,1.00,14.20,0.20,0
45.00,3.00,15.00,2.10,0.11,0
30.00,1.00,10.00,10.50,1.14,0
27.00,2.00,7.00,6.00,0.72,0
25.00,8.00,4.00,14.40,1.02,0
25.00,8.00,1.00,2.90,0.08,0
26.00,6.00,7.00,26.00,6.05,0
30.00,10.00,4.00,16.10,1.41,0
32.00,12.00,1.00,14.40,3.20,0
28.00,1.00,8.00,17.10,1.34,1
45.00,23.00,5.00,4.20,0.56,0
23.00,7.00,2.00,6.60,0.34,0
34.00,17.00,3.00,8.00,1.81,0
42.00,7.00,23.00,4.60,0.94,0
39.00,19.00,5.00,13.10,1.93,0
26.00,0.00,0.00,7.50,0.30,1
21.00,0.00,1.00,6.80,0.15,0
35.00,13.00,15.00,4.50,0.43,0
47.00,4.00,2.00,10.40,0.12,0
23.00,0.00,2.00,11.40,0.78,1
35.00,18.00,2.00,7.40,0.21,0
34.00,2.00,11.00,12.60,0.57,1
46.00,1.00,12.00,14.00,0.81,0
46.00,16.00,18.00,12.90,3.03,1
38.00,3.00,18.00,3.70,0.31,0
40.00,3.00,2.00,9.50,0.55,0
37.00,1.00,3.00,15.10,1.80,1
35.00,9.00,1.00,5.00,0.40,0
39.00,16.00,13.00,2.40,1.06,0
40.00,18.00,6.00,2.50,1.49,0
50.00,10.00,20.00,12.20,2.48,0
31.00,9.00,10.00,2.40,0.05,0
29.00,13.00,1.00,7.40,1.46,1
37.00,4.00,0.00,12.40,0.87,0
33.00,4.00,9.00,7.00,2.16,0
26.00,5.00,7.00,7.80,1.02,0
32.00,11.00,6.00,23.30,7.76,1
28.00,2.00,3.00,6.40,0.19,1
39.00,19.00,8.00,9.10,2.52,0
28.00,8.00,3.00,8.20,1.49,1
29.00,1.00,2.00,18.60,0.57,1
34.00,3.00,8.00,23.10,1.40,0
28.00,5.00,9.00,23.80,3.10,0
47.00,26.00,21.00,12.80,4.58,0
43.00,1.00,5.00,10.60,1.52,0
41.00,13.00,10.00,1.70,0.07,0
47.00,13.00,25.00,23.80,3.74,0
24.00,2.00,1.00,0.60,0.03,0
29.00,1.00,9.00,6.70,0.16,0
33.00,14.00,2.00,2.60,0.20,0
36.00,15.00,10.00,3.20,0.69,0
26.00,4.00,3.00,10.50,2.47,1
31.00,11.00,12.00,17.00,2.74,0
37.00,7.00,3.00,19.60,2.70,0
35.00,4.00,16.00,11.00,1.84,0
26.00,4.00,3.00,5.40,0.32,0
40.00,10.00,15.00,18.80,2.01,0
29.00,5.00,4.00,12.40,3.49,1
37.00,5.00,17.00,24.60,1.41,0
32.00,12.00,12.00,2.90,0.12,0
23.00,0.00,1.00,27.70,2.04,1
32.00,3.00,10.00,6.20,0.05,0
25.00,1.00,6.00,11.40,0.37,1
38.00,5.00,5.00,10.60,1.50,0
32.00,0.00,6.00,5.80,0.30,1
41.00,2.00,0.00,26.30,1.96,1
36.00,17.00,6.00,4.40,0.73,0
42.00,13.00,0.00,3.30,1.32,0
41.00,14.00,8.00,7.30,0.93,0
29.00,4.00,9.00,6.30,0.68,0
38.00,4.00,6.00,9.30,1.33,1
39.00,22.00,9.00,2.60,0.99,0
36.00,6.00,9.00,8.30,0.03,0
33.00,8.00,7.00,5.80,0.78,0
42.00,21.00,11.00,3.10,1.37,0
41.00,22.00,17.00,23.60,9.88,0
40.00,8.00,17.00,3.60,0.53,0
53.00,9.00,18.00,11.20,2.02,1
28.00,4.00,7.00,13.50,1.30,0
36.00,12.00,13.00,7.90,1.72,0
34.00,9.00,13.00,10.10,1.12,0
45.00,2.00,5.00,4.90,0.46,0
38.00,6.00,0.00,8.90,0.27,0
21.00,0.00,2.00,7.70,0.83,0
42.00,12.00,11.00,21.40,2.41,0
52.00,16.00,25.00,8.60,1.87,0
25.00,4.00,6.00,5.20,0.55,0
34.00,9.00,9.00,6.20,2.11,0
40.00,15.00,16.00,3.40,1.03,0
31.00,0.00,4.00,12.80,1.09,1
25.00,1.00,0.00,6.70,0.47,1
45.00,12.00,19.00,9.50,1.34,0
23.00,3.00,0.00,8.40,0.28,1
34.00,6.00,3.00,35.30,1.98,1
31.00,2.00,4.00,12.70,1.09,1
28.00,5.00,9.00,2.80,0.14,0
41.00,7.00,11.00,4.40,0.69,0
39.00,7.00,2.00,13.00,1.02,1
29.00,9.00,3.00,1.40,0.13,0
21.00,5.00,1.00,9.00,0.37,0
41.00,19.00,2.00,5.80,1.51,0
26.00,1.00,7.00,2.90,0.31,0
33.00,5.00,10.00,12.90,0.98,0
45.00,18.00,19.00,17.40,0.55,0
39.00,17.00,20.00,13.70,2.45,0
24.00,7.00,2.00,6.30,0.52,0
29.00,6.00,7.00,2.20,0.45,0
27.00,1.00,0.00,12.40,0.29,0
40.00,13.00,2.00,5.90,0.96,0
29.00,8.00,10.00,6.70,0.47,0
29.00,4.00,3.00,6.60,1.16,1
24.00,0.00,2.00,16.00,1.01,1
27.00,9.00,6.00,17.80,2.85,1
41.00,16.00,22.00,4.40,1.28,0
31.00,11.00,8.00,9.10,0.14,0
41.00,16.00,17.00,5.40,0.45,0
42.00,5.00,3.00,3.40,0.36,0
28.00,1.00,3.00,12.40,0.38,0
30.00,2.00,8.00,10.00,1.77,0
30.00,11.00,1.00,8.40,0.68,0
31.00,8.00,4.00,8.00,1.72,0
45.00,15.00,14.00,18.10,1.55,0
43.00,13.00,23.00,6.10,2.15,1
36.00,4.00,10.00,16.30,1.33,0
28.00,8.00,6.00,7.20,0.61,0
27.00,3.00,5.00,13.20,1.63,0
36.00,13.00,3.00,19.20,2.80,0
33.00,12.00,11.00,11.30,2.10,0
54.00,9.00,2.00,14.80,1.56,1
33.00,9.00,4.00,13.80,1.35,1
31.00,9.00,5.00,4.50,0.31,0
21.00,4.00,0.00,8.90,1.42,0
28.00,5.00,9.00,8.70,0.77,0
31.00,2.00,1.00,6.80,0.28,1
32.00,8.00,6.00,4.10,0.33,0
35.00,1.00,8.00,12.50,0.59,1
40.00,13.00,11.00,18.90,6.23,1
22.00,4.00,2.00,15.60,1.64,1
39.00,4.00,9.00,6.50,1.18,0
41.00,14.00,3.00,1.70,0.35,0
34.00,16.00,9.00,4.00,1.73,0
29.00,7.00,9.00,9.70,0.55,0
31.00,4.00,10.00,11.30,0.29,0
32.00,1.00,0.00,4.80,0.31,1
32.00,14.00,7.00,8.80,3.75,0
33.00,6.00,14.00,7.50,0.57,0
26.00,6.00,0.00,10.30,0.72,0
21.00,1.00,1.00,17.30,0.16,0
28.00,7.00,2.00,7.00,0.36,0
37.00,13.00,5.00,8.90,0.60,0
33.00,2.00,14.00,22.90,2.12,1
39.00,12.00,10.00,5.00,0.56,0
40.00,8.00,19.00,5.60,0.88,0
45.00,16.00,21.00,3.00,0.91,0
27.00,10.00,6.00,6.50,0.85,0
28.00,0.00,7.00,24.20,1.42,0
39.00,13.00,9.00,8.00,0.97,0
40.00,14.00,21.00,15.00,2.79,1
27.00,11.00,8.00,16.90,4.64,0
